Longitude,Langitude
76.86859131,8.5704972
-118.2445,34.0564
0.71080282,52.24493337
-6.28034668,53.36853317
-73.56725453,45.75975883
36.821945,-1.292066
-8.855673,51.821751
-80.25928899,26.11281844
-6.2893174,53.3001307
28.1122679,-26.2707593
-75.0022,41.0933
1.78041375,41.57943828
-118.18884,33.97977
-74.151,40.7916
121.03713,14.56431
-0.14173,51.51671
-118.227882,34.180294
-5.817677,54.59341431
-79.9975,40.4411
100.67705078,13.76598429
-118.17780528,34.08388712
50.16988501,26.30650931
-0.12485951,51.50538967
-0.12485951,51.50538967
-100.0,31.0
-1.2900741,51.8232312
-0.12485951,51.50538967
-122.77935,45.43983
101.5983,3.1581
-0.1094,51.5141
-73.56725453,45.75975883
-1.4667,53.3833
-0.12485951,51.50538967
-122.47,37.72
-74.00187056,40.7332086
-80.28091469,25.97734614
-6.42164126,53.38589478
-74.00187056,40.7332086
-101.90232,33.57497
4.8982,52.3769
4.8982,52.3769
-0.13608912,51.50413561
-2.18091488,53.00778835
78.57314908,13.36229505
-1.3545,53.4338
-4.629734,54.08989
-0.13608912,51.50413561
-0.11333333,51.51361111
-0.36653,51.46722
104.7780869,52.82080324
-73.56725453,45.75975883
106.78754937,-6.28767558
-75.0022,41.0933
-3.0200922,53.0774651
-73.56725453,45.75975883
6.89505,52.22144
32.42174864,34.75090426
103.8677444,1.3553794
-73.56725453,45.75975883
-86.57165272,30.45045045
101.5983,3.1581
-0.10226432,51.57558519
-73.56725453,45.75975883
116.0427559,5.9535771
-80.8433,35.2269
-0.82345963,53.9593831
-118.454359,34.193978
-1.26667,52.0167
-6.28034668,53.36853317
-1.76283317,51.57135569
-73.56725453,45.75975883
-74.00187056,40.7332086
-116.9407021,34.0399038
-75.0022,41.0933
124.74678,6.37322
-73.56725453,45.75975883
5.00487398,52.2243042
-74.00187056,40.7332086
-0.08083314,51.5199322
13.1199934,52.381905
17.639437,59.858782
124.8401,1.4886
43.98706913,56.32886367
-0.12485951,51.50538967
-0.2020281,51.2340638
121.029,14.5569
26.10076904,44.42554213
-0.13608912,51.50413561
144.9661,-37.8156
101.7230789,3.1479601
-0.12485951,51.50538967
-73.56725453,45.75975883
-74.00187056,40.7332086
75.59231,31.30856
-73.56725453,45.75975883
4.83333333,52.66666667
-122.415895,37.7836883
-6.20295426,52.67861955
0.82794859,51.88466693
-0.12485951,51.50538967
-73.56725453,45.75975883
75.8302183,30.90285268
123.75225,9.58084
0.14883041,51.81378115
0.66508719,51.54717027
-77.0414278,38.90276426
-73.96116998,40.81830066
21.008333,52.232222
34.7667,32.0667
-75.192588,43.137009
-1.89943716,52.48416375
-73.56725453,45.75975883
-99.7455,32.4464
144.9661,-37.8156
-76.91038,38.62365
-73.56725453,45.75975883
6.5669,53.2171
-99.13547516,19.43757829
-0.28056,51.5517
-88.69389,41.98361
-157.80594818,21.32459386
-6.96884517,52.54859917
115.22659106,-8.64100158
-92.3680526,38.95641372
78.57314908,13.36229505
-73.84350331,40.74593584
-121.8865,37.3376
0.70759817,51.84094619
-77.11696,39.04967
-2.50935448,51.82305089
-117.566,33.8753
-94.0,46.0
-78.87644696,42.88369488
-4.14238416,50.37973537
-73.56725453,45.75975883
21.008333,52.232222
-1.46989346,52.91765398
123.75225,9.58084
-4.309626,55.852472
-0.12450144,51.50013926
-0.12485951,51.50538967
-7.58528,52.0483
-73.47935661,45.6677507
-73.47935661,45.6677507
126.977,37.5689
-1.57861473,53.67507504
-1.78918297,53.83855178
55.2741,25.1994
-99.22341175,19.42583585
106.9833,-6.2646
-0.53782683,52.39170171
-3.4650339,50.7422792
-0.99609,53.21285
-3.4650339,50.7422792
-4.309626,55.852472
-90.27584,38.600704
-0.57048,51.23709
125.63108683,7.09838008
-0.12485951,51.50538967
-0.12485951,51.50538967
-0.1094,51.5141
-0.13355317,51.49594393
-0.0615406,51.60573099
-93.28874,44.99714
18.49730636,-33.98570677
4.34743889,50.86465837
-1.786423,51.563435
-77.02553558,38.93938828
43.98706913,56.32886367
-3.94231813,51.61876181
144.9661,-37.8156
74.043333,15.401944
-74.0064,40.7142
-0.88716006,50.78260857
55.13847113,25.0731024
-0.13608912,51.50413561
0.58585882,51.57061738
-4.70058245,51.67273429
-77.31062553,39.15244099
-5.80731,54.71399
-80.165,25.69027778
-77.459267,37.590549
-112.16731354,33.55844116
-78.618509,42.9265712
-100.0,31.0
-74.00154591,40.7537754
-83.14665,42.53244
-0.294912,51.5244032
-0.13608912,51.50413561
-73.70760837,40.74965283
-73.98780738,40.76727759
-0.12485951,51.50538967
0.37338294,50.81937006
-73.8531,40.7493
-1.84213109,50.72338867
-0.12614077,51.53316091
0.58585882,51.57061738
-117.32577,34.47128
-114.07883,51.05389
-97.200751,38.349632
-1.78,51.55
-74.0064,40.7142
-0.09933287,51.50744786
-1.89943716,52.48416375
-117.566,33.8753
-73.98908884,40.75082586
-72.51944444,43.62361111
-86.59723163,30.40067727
-0.50248222,51.36871946
-90.070864,29.948479
-73.80490471,40.70507108
-117.53831,33.85124
-118.1938,33.7692
-90.070864,29.948479
23.80580551,37.81989226
30.94315994,-29.93182445
-4.309626,55.852472
80.2751,13.0812
0.6862309,51.871609
-88.1033,30.6795
-5.93511,54.57944
-0.18016398,51.48217862
-74.0064,40.7142
-122.1394165,37.4391713
-0.99609,53.21285
-76.6099392,39.2896037
-80.165,25.69027778
-3.13788414,55.93494771
-71.2464,42.1404
-1.91978589,52.29704619
5.01667,52.0833
-111.07427917,45.67070719
-102.00614994,36.05264768
-8.48343991,51.89447021
-73.95,40.65
-75.45736313,43.21272978
-84.388147,33.6791435
6.9667,50.95
120.9711,14.4177
-2.0,57.3
-76.7296189,39.9620223
103.74629482,1.37867553
-122.0615,37.948
6.5669,53.2171
38.7653,8.995
0.30351,51.62065
-86.74157827,32.98658574
-121.87893,37.65716
-122.42390737,37.77108765
-80.8433,35.2269
-1.31356729,51.74758911
-97.03787546,32.89849574
-73.9675,40.7779
-73.84980243,40.74590223
-105.144,39.976
-81.23430786,28.66336356
-73.9446592,40.7153023
-74.00187056,40.7332086
-118.79923186,33.9998627
-103.926,47.8597
-117.6317494,33.8998939
-96.1097,33.126
-87.632496,41.883222
-73.47935661,45.6677507
-0.1094,51.5141
-118.248217,34.036681
21.008333,52.232222
-75.55259177,39.75945138
16.41560835,48.1739745
-86.5169421,36.58117481
-96.66305556,33.09972222
-5.09807,50.16762
-65.03889,46.02911
-69.0,45.5
30.66313513,-0.60745413
-84.3889,33.7566
-73.56300186,45.49987026
-77.0253974,38.9394873
-79.3872,43.648
-118.0525589,34.14328008
-58.42144444,-34.57516667
-87.6638159,41.9979028
78.57314908,13.36229505
34.7667,32.0667
-112.2838546,33.6033555
120.59792161,18.51227541
-77.0367,38.8951
-73.47935661,45.6677507
-90.12694091,29.9803937
-74.0007613,40.7207559
-77.04722222,38.80472222
-0.82345963,53.9593831
-122.4183,37.775
-117.26030597,34.08818082
-117.566,33.8753
-1.15946732,50.65433016
-111.80134325,40.60968018
-117.5205067,33.885807
-118.40033,34.07347
-122.419,37.7793
